.index,.value,.conf_lo,.conf_hi,Month
07/10/2022,1.384984601,-4.46643271,7.236401912,1 month
08/10/2022,1.542661196,-4.308756115,7.394078508,1 month
09/10/2022,1.673380185,-4.178037126,7.524797496,1 month
10/10/2022,1.22601757,-4.625399741,7.077434881,1 month
11/10/2022,1.443033834,-4.408383477,7.294451146,1 month
12/10/2022,1.531317982,-4.32009933,7.382735293,1 month
12/05/2022,4.707935602,NA,NA,2 months
13/05/2022,3.025999306,NA,NA,2 months
14/05/2022,2.652584722,NA,NA,2 months
15/05/2022,3.176898611,NA,NA,2 months
16/05/2022,3.199274306,NA,NA,2 months
17/05/2022,2.775901389,NA,NA,2 months
18/05/2022,2.69595625,NA,NA,2 months
19/05/2022,2.640545139,NA,NA,2 months
20/05/2022,1.935965972,NA,NA,2 months
21/05/2022,2.38895415,NA,NA,2 months
24/05/2022,0.762715966,NA,NA,2 months
25/05/2022,2.151674306,NA,NA,2 months
26/05/2022,2.745491111,NA,NA,2 months
31/05/2022,0.794618182,NA,NA,2 months
01/06/2022,2.029339024,NA,NA,2 months
02/06/2022,2.484563542,NA,NA,2 months
03/06/2022,2.88139375,NA,NA,2 months
04/06/2022,2.595713194,NA,NA,2 months
05/06/2022,2.010494444,NA,NA,2 months
06/06/2022,2.638295833,NA,NA,2 months
07/06/2022,2.779093056,NA,NA,2 months
08/06/2022,1.428313986,NA,NA,2 months
09/06/2022,0.914211458,NA,NA,2 months
10/06/2022,2.171935069,NA,NA,2 months
11/06/2022,2.765937847,NA,NA,2 months
12/06/2022,2.286890625,NA,NA,2 months
13/06/2022,1.559672917,NA,NA,2 months
14/06/2022,0.494092014,NA,NA,2 months
15/06/2022,1.289817822,NA,NA,2 months
16/06/2022,1.545923684,NA,NA,2 months
17/06/2022,1.698937153,NA,NA,2 months
18/06/2022,1.368589583,NA,NA,2 months
19/06/2022,0.893864931,NA,NA,2 months
20/06/2022,2.145393056,NA,NA,2 months
21/06/2022,0.387551389,NA,NA,2 months
22/06/2022,0.623340278,NA,NA,2 months
23/06/2022,1.670668403,NA,NA,2 months
24/06/2022,1.394745833,NA,NA,2 months
25/06/2022,1.258885417,NA,NA,2 months
26/06/2022,1.804852431,NA,NA,2 months
27/06/2022,1.018317708,NA,NA,2 months
28/06/2022,1.217724306,NA,NA,2 months
29/06/2022,1.737663889,NA,NA,2 months
