.index,.value,.conf_lo,.conf_hi,Month,Entrada,Corriente
12/05/2022,4.707935602,NA,NA,1 month,I1,Promedio
13/05/2022,3.025999306,NA,NA,1 month,I1,Promedio
14/05/2022,2.652584722,NA,NA,1 month,I1,Promedio
15/05/2022,3.176898611,NA,NA,1 month,I1,Promedio
16/05/2022,3.199274306,NA,NA,1 month,I1,Promedio
17/05/2022,2.775901389,NA,NA,1 month,I1,Promedio
18/05/2022,2.69595625,NA,NA,1 month,I1,Promedio
19/05/2022,2.640545139,NA,NA,1 month,I1,Promedio
20/05/2022,1.935965972,NA,NA,1 month,I1,Promedio
21/05/2022,2.38895415,NA,NA,1 month,I1,Promedio
24/05/2022,0.762715966,NA,NA,1 month,I1,Promedio
25/05/2022,2.151674306,NA,NA,1 month,I1,Promedio
26/05/2022,2.745491111,NA,NA,1 month,I1,Promedio
31/05/2022,0.794618182,NA,NA,1 month,I1,Promedio
01/06/2022,2.029339024,NA,NA,1 month,I1,Promedio
02/06/2022,2.484563542,NA,NA,1 month,I1,Promedio
03/06/2022,2.88139375,NA,NA,1 month,I1,Promedio
04/06/2022,2.595713194,NA,NA,1 month,I1,Promedio
05/06/2022,2.010494444,NA,NA,1 month,I1,Promedio
06/06/2022,2.638295833,NA,NA,1 month,I1,Promedio
07/06/2022,2.779093056,NA,NA,1 month,I1,Promedio
08/06/2022,1.428313986,NA,NA,1 month,I1,Promedio
09/06/2022,0.914211458,NA,NA,1 month,I1,Promedio
10/06/2022,2.171935069,NA,NA,1 month,I1,Promedio
11/06/2022,2.765937847,NA,NA,1 month,I1,Promedio
12/06/2022,2.286890625,NA,NA,1 month,I1,Promedio
13/06/2022,1.559672917,NA,NA,1 month,I1,Promedio
14/06/2022,0.494092014,NA,NA,1 month,I1,Promedio
15/06/2022,1.289817822,NA,NA,1 month,I1,Promedio
16/06/2022,1.545923684,NA,NA,1 month,I1,Promedio
17/06/2022,1.698937153,NA,NA,1 month,I1,Promedio
18/06/2022,1.368589583,NA,NA,1 month,I1,Promedio
19/06/2022,0.893864931,NA,NA,1 month,I1,Promedio
20/06/2022,2.145393056,NA,NA,1 month,I1,Promedio
21/06/2022,0.387551389,NA,NA,1 month,I1,Promedio
22/06/2022,0.623340278,NA,NA,1 month,I1,Promedio
23/06/2022,1.670668403,NA,NA,1 month,I1,Promedio
24/06/2022,1.394745833,NA,NA,1 month,I1,Promedio
25/06/2022,1.258885417,NA,NA,1 month,I1,Promedio
26/06/2022,1.804852431,NA,NA,1 month,I1,Promedio
27/06/2022,1.018317708,NA,NA,1 month,I1,Promedio
28/06/2022,1.217724306,NA,NA,1 month,I1,Promedio
29/06/2022,1.737663889,NA,NA,1 month,I1,Promedio
30/06/2022,2.712030061,NA,NA,1 month,I1,Promedio
01/07/2022,2.231082759,NA,NA,1 month,I1,Promedio
02/07/2022,1.901282986,NA,NA,1 month,I1,Promedio
03/07/2022,2.300810764,NA,NA,1 month,I1,Promedio
04/07/2022,0.824482986,NA,NA,1 month,I1,Promedio
05/07/2022,1.447805903,NA,NA,1 month,I1,Promedio
06/07/2022,1.542794444,NA,NA,1 month,I1,Promedio
07/07/2022,0.855107292,NA,NA,1 month,I1,Promedio
08/07/2022,1.538985417,NA,NA,1 month,I1,Promedio
09/07/2022,1.206404167,NA,NA,1 month,I1,Promedio
10/07/2022,2.258291667,NA,NA,1 month,I1,Promedio
11/07/2022,1.820593056,NA,NA,1 month,I1,Promedio
12/07/2022,1.849984028,NA,NA,1 month,I1,Promedio
13/07/2022,1.723466667,NA,NA,1 month,I1,Promedio
14/07/2022,1.156826042,NA,NA,1 month,I1,Promedio
15/07/2022,0.386513889,NA,NA,1 month,I1,Promedio
16/07/2022,1.292538542,NA,NA,1 month,I1,Promedio
17/07/2022,2.503977778,NA,NA,1 month,I1,Promedio
18/07/2022,0.450251042,NA,NA,1 month,I1,Promedio
19/07/2022,2.400854514,NA,NA,1 month,I1,Promedio
20/07/2022,1.86106875,NA,NA,1 month,I1,Promedio
21/07/2022,3.167716319,NA,NA,1 month,I1,Promedio
22/07/2022,2.406262847,NA,NA,1 month,I1,Promedio
23/07/2022,1.837045139,NA,NA,1 month,I1,Promedio
24/07/2022,1.641955556,NA,NA,1 month,I1,Promedio
25/07/2022,0.815207986,NA,NA,1 month,I1,Promedio
26/07/2022,2.833456944,NA,NA,1 month,I1,Promedio
27/07/2022,1.91151195,NA,NA,1 month,I1,Promedio
28/07/2022,1.945563366,NA,NA,1 month,I1,Promedio
29/07/2022,0.544959375,NA,NA,1 month,I1,Promedio
30/07/2022,1.5553875,NA,NA,1 month,I1,Promedio
31/07/2022,3.001889083,NA,NA,1 month,I1,Promedio
01/08/2022,0.30229661,NA,NA,1 month,I1,Promedio
02/08/2022,1.293307292,NA,NA,1 month,I1,Promedio
03/08/2022,2.780509375,NA,NA,1 month,I1,Promedio
04/08/2022,1.637516319,NA,NA,1 month,I1,Promedio
05/08/2022,2.548803819,NA,NA,1 month,I1,Promedio
06/08/2022,2.017529167,NA,NA,1 month,I1,Promedio
07/08/2022,1.309562153,NA,NA,1 month,I1,Promedio
08/08/2022,1.717640625,NA,NA,1 month,I1,Promedio
09/08/2022,1.532463542,NA,NA,1 month,I1,Promedio
10/08/2022,1.569150347,NA,NA,1 month,I1,Promedio
11/08/2022,1.485265278,NA,NA,1 month,I1,Promedio
12/08/2022,1.576089236,NA,NA,1 month,I1,Promedio
13/08/2022,1.639046875,NA,NA,1 month,I1,Promedio
